subject	maze	path	times
9189	medium/tworooms.txt	p(3,2);p(4,2);p(5,2);p(5,1);p(6,1);p(7,1);p(7,2);p(7,3);p(7,4);p(6,4);p(5,4);p(5,3);p(5,2);p(4,2);p(3,2);p(2,2);p(1,2);p(1,1);	4205;428;1924;494;723;1931;248;1037;1826;297;608;459;579;579;438;580;942;
9189	hard/tradeoff5.txt	p(5,0);p(6,0);p(7,0);p(7,1);p(7,2);p(7,3);p(6,3);p(5,3);	2841;1161;618;876;477;1121;334;
9189	hard/tradeoff3.txt	p(2,1);p(1,1);p(0,1);p(0,2);	4486;267;834;
9189	hard/tradeoff4.txt	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(2,2);p(1,2);p(1,3);p(0,3);	4580;399;1121;650;445;741;486;1025;498;
9189	hard/tradeoff7.txt	p(3,0);p(4,0);p(5,0);p(5,1);p(5,2);p(5,3);p(6,3);	2914;285;427;418;1142;811;
P3-EB	easy/easy_rw_24.txt	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);	12107;988;1018;1067;13207;
P3-EB	easy/easy_rw46.txt	p(3,1);p(3,2);p(2,2);p(1,2);p(1,3);	14004;1921;990;14957;
P3-EB	easy/easy_cost13.txt	p(2,1);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);p(5,3);p(5,2);p(4,2);p(3,2);p(2,2);p(1,2);p(1,3);p(1,4);	13703;1514;1055;2541;4312;1055;8661;893;637;4026;1304;1028;1788;5947;
P3-EB	easy/easy_cost24.txt	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(2,2);p(1,2);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(4,1);p(5,1);	13728;1043;923;1266;849;998;790;2218;1662;984;951;798;1256;1353;3968;5052;
P3-EB	medium/tworooms.txt	p(3,2);p(2,2);p(1,2);p(1,1);	18606;1067;10172;
P3-EB	medium/tradeoff2.txt	p(5,1);p(6,1);p(5,1);p(4,1);p(3,1);p(2,1);p(1,1);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(2,3);p(1,3);p(0,3);p(0,2);p(0,1);p(1,1);p(2,1);p(3,1);p(4,1);p(5,1);p(6,1);p(7,1);p(7,2);	9252;2586;1322;1000;1341;1115;1132;817;1039;1635;780;1316;1959;856;789;809;829;2443;2562;2181;3157;1562;1739;1457;19831;
P3-EB	medium/courtyard.txt	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(0,3);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(2,2);	17645;950;999;858;1418;941;856;1008;715;762;980;1512;941;7327;2190;1104;827;904;2560;677;1428;1349;935;18050;
P3-EB	medium/tradeoff1.txt	p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);	12634;1276;1255;1360;9318;723;724;950;1578;99991;
S245664	easy/easy_cost35.txt	p(3,0);p(2,0);p(1,0);p(1,1);	5277;436;1092;
S245664	easy/easy_rw46.txt	p(3,1);p(3,2);p(2,2);p(1,2);p(0,2);p(1,2);p(1,3);	2138;579;504;466;932;391;
S245664	easy/roomG.txt	p(3,4);p(3,3);p(3,2);p(2,2);p(1,2);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(6,3);	1756;599;2653;486;390;1237;285;392;512;514;2114;884;
S245664	easy/library.txt	p(6,1);p(6,0);p(6,1);p(6,2);p(6,3);p(6,4);p(7,4);	1677;1188;389;591;618;1114;
S245664	easy/easy_cost13.txt	p(2,1);p(2,0);p(2,1);p(2,2);p(1,2);p(1,3);p(1,4);	1305;1063;408;418;1208;392;
S245664	easy/easy_rw_24.txt	p(0,0);p(1,0);p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);	1327;1493;353;532;541;420;722;
S245664	easy/easy_cost24.txt	p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(5,1);	1150;1130;484;552;420;684;
S245664	easy/easy_rw_35.txt	p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(6,0);p(6,1);p(6,0);p(6,1);p(6,2);p(6,3);p(6,4);p(5,4);p(4,4);	1691;369;428;1590;418;810;1455;305;970;276;200;221;238;207;229;1086;608;437;475;1208;391;
S245664	medium/garden.txt	p(0,2);p(1,2);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);p(6,4);	2225;370;1750;313;1066;419;790;449;1283;401;399;467;504;1330;583;1008;
S245664	medium/lab.txt	p(2,0);p(2,1);p(2,2);p(1,2);p(0,2);p(0,3);	1336;521;1674;410;818;
S245664	medium/tworooms.txt	p(3,2);p(2,2);p(1,2);p(0,2);p(0,1);p(1,1);	1252;588;400;1105;304;
S245664	medium/tradeoff2.txt	p(1,2);p(1,1);p(1,0);p(2,0);	1681;443;742;
S245664	medium/bunker_noscoring.txt	p(3,0);p(3,1);p(3,2);p(2,2);p(1,2);	1639;588;1284;981;
S245664	medium/thetube.txt	p(8,3);p(7,3);p(7,2);p(7,1);p(7,2);p(7,3);p(6,3);p(5,3);p(4,3);p(4,2);p(4,1);p(4,2);p(4,1);p(3,1);p(2,1);	1134;1710;267;1170;437;400;334;294;1011;331;266;866;571;409;
S245664	medium/courtyard.txt	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(2,2);	2582;382;542;1817;475;752;
S245664	medium/tradeoff1.txt	p(3,0);p(2,0);p(1,0);p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(6,0);p(7,0);p(8,0);p(8,1);p(8,2);	1517;407;409;2420;380;455;573;503;495;496;390;979;400;
S245664	hard/regret_noscoring.txt	p(0,0);p(0,1);p(1,1);p(2,1);	1225;1472;239;
S245664	hard/tradeoff3.txt	p(2,1);p(1,1);p(0,1);p(0,2);	1491;256;797;
S245664	hard/tradeoff7.txt	p(3,0);p(2,0);p(1,0);p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,5);p(3,5);p(4,5);p(5,5);p(5,4);p(5,3);p(6,3);	1224;598;360;2410;353;827;505;605;279;1607;392;350;459;1436;476;535;512;570;1208;535;
S245664	hard/tradeoff6.txt	p(3,2);p(3,1);p(3,0);p(4,0);	1985;494;801;
